frame,timestamp_s,motion_score,changed_pct,motion_level
1,0.042,58.087,66.745,High
2,0.083,40.063,57.295,High
3,0.125,56.209,69.580,High
4,0.167,60.704,71.563,High
5,0.208,49.162,60.163,High
6,0.250,47.056,56.747,High
7,0.292,44.129,55.916,High
8,0.333,35.870,46.090,High
9,0.375,28.947,37.422,High
10,0.417,7.213,5.795,Medium
11,0.458,8.640,9.061,Medium
12,0.500,0.277,0.000,Low
13,0.542,5.535,4.113,Medium
14,0.583,0.508,0.000,Low
15,0.625,3.247,1.566,Low
16,0.667,1.051,0.000,Low
17,0.708,2.373,0.875,Low
18,0.750,0.905,0.003,Low
19,0.792,2.124,0.387,Low
20,0.833,1.328,0.036,Low
21,0.875,1.718,0.284,Low
22,0.917,1.912,0.029,Low
23,0.958,2.425,0.213,Low
24,1.000,2.379,0.049,Low
25,1.042,2.238,0.136,Low
26,1.083,1.786,0.018,Low
27,1.125,1.611,0.102,Low
28,1.167,0.693,0.002,Low
29,1.208,1.049,0.096,Low
30,1.250,70.731,73.723,High
31,1.292,0.057,0.000,Low
32,1.333,0.094,0.000,Low
33,1.375,22.991,25.488,High
34,1.417,0.083,0.000,Low
35,1.458,0.151,0.000,Low
36,1.500,24.789,27.151,High
37,1.542,0.116,0.000,Low
38,1.583,0.115,0.000,Low
39,1.625,11.082,13.115,Medium
40,1.667,0.159,0.000,Low
41,1.708,0.143,0.000,Low
42,1.750,11.812,14.608,Medium
43,1.792,0.153,0.000,Low
44,1.833,0.126,0.000,Low
45,1.875,17.013,19.659,High
46,1.917,0.092,0.000,Low
47,1.958,0.078,0.000,Low
48,2.000,22.902,26.605,High
49,2.042,0.083,0.000,Low
50,2.083,0.087,0.000,Low
51,2.125,20.444,23.492,High
52,2.167,0.123,0.000,Low
53,2.208,0.135,0.000,Low
54,2.250,13.769,16.886,Medium
55,2.292,0.068,0.000,Low
56,2.333,0.142,0.000,Low
57,2.375,13.332,16.380,Medium
58,2.417,0.047,0.000,Low
59,2.458,0.090,0.000,Low
60,2.500,2.101,2.274,Low
61,2.542,0.047,0.000,Low
62,2.583,0.119,0.000,Low
63,2.625,1.620,1.578,Low
64,2.667,0.071,0.000,Low
65,2.708,0.076,0.000,Low
66,2.750,0.951,0.616,Low
67,2.792,0.069,0.000,Low
68,2.833,0.097,0.000,Low
69,2.875,1.031,0.850,Low
70,2.917,0.059,0.000,Low
71,2.958,0.133,0.000,Low
72,3.000,0.837,0.311,Low
73,3.042,0.081,0.000,Low
74,3.083,0.116,0.000,Low
75,3.125,0.725,0.302,Low
76,3.167,0.079,0.000,Low
77,3.208,0.078,0.000,Low
78,3.250,1.300,1.156,Low
79,3.292,0.051,0.000,Low
80,3.333,0.098,0.000,Low
81,3.375,2.108,2.648,Low
82,3.417,0.039,0.000,Low
83,3.458,0.059,0.000,Low
84,3.500,1.862,2.279,Low
85,3.542,0.042,0.000,Low
86,3.583,0.062,0.000,Low
87,3.625,0.954,0.775,Low
88,3.667,0.260,0.261,Low
89,3.708,0.065,0.000,Low
90,3.750,0.509,0.077,Low
91,3.792,0.038,0.000,Low
92,3.833,0.070,0.000,Low
93,3.875,0.309,0.005,Low
94,3.917,0.046,0.000,Low
95,3.958,0.048,0.000,Low
96,4.000,0.603,0.000,Low
97,4.042,0.146,0.000,Low
98,4.083,0.067,0.000,Low
99,4.125,0.387,0.003,Low
100,4.167,0.050,0.000,Low
101,4.208,79.743,76.287,High
102,4.250,0.003,0.000,Low
103,4.292,16.442,20.858,High
104,4.333,0.033,0.000,Low
105,4.375,0.019,0.000,Low
106,4.417,18.548,23.261,High
107,4.458,0.018,0.000,Low
108,4.500,0.010,0.000,Low
109,4.542,25.849,32.455,High
110,4.583,0.021,0.000,Low
111,4.625,0.007,0.000,Low
112,4.667,28.860,36.359,High
113,4.708,0.012,0.000,Low
114,4.750,0.009,0.000,Low
115,4.792,30.641,39.084,High
116,4.833,0.059,0.000,Low
117,4.875,20.472,28.065,High
118,4.917,0.016,0.000,Low
119,4.958,23.700,31.906,High
120,5.000,0.038,0.000,Low
121,5.042,36.287,45.476,High
122,5.083,0.046,0.000,Low
123,5.125,21.838,29.269,High
124,5.167,0.028,0.000,Low
125,5.208,23.331,30.476,High
126,5.250,0.031,0.000,Low
127,5.292,0.036,0.000,Low
128,5.333,19.587,26.080,High
129,5.375,0.024,0.000,Low
130,5.417,0.007,0.000,Low
131,5.458,18.101,24.423,High
132,5.500,0.033,0.000,Low
133,5.542,0.016,0.000,Low
134,5.583,0.346,0.093,Low
135,5.625,0.014,0.000,Low
136,5.667,0.011,0.000,Low
137,5.708,0.424,0.208,Low
138,5.750,0.011,0.000,Low
139,5.792,0.011,0.000,Low
140,5.833,0.459,0.232,Low
141,5.875,0.007,0.000,Low
142,5.917,0.006,0.000,Low
143,5.958,0.004,0.000,Low
144,6.000,0.359,0.000,Low
145,6.042,0.006,0.000,Low
146,6.083,0.002,0.000,Low
147,6.125,0.001,0.000,Low
148,6.167,0.001,0.000,Low
149,6.208,0.001,0.000,Low
150,6.250,0.000,0.000,Low
151,6.292,0.004,0.000,Low
152,6.333,0.001,0.000,Low
153,6.375,0.010,0.000,Low
154,6.417,31.927,40.102,High
155,6.458,0.506,0.000,Low
156,6.500,47.295,51.916,High
157,6.542,0.863,0.684,Low
158,6.583,42.568,48.576,High
159,6.625,0.537,0.408,Low
160,6.667,48.574,50.576,High
161,6.708,1.187,1.479,Low
162,6.750,44.354,46.849,High
163,6.792,1.762,2.092,Low
164,6.833,49.684,50.342,High
165,6.875,3.229,3.784,Low
166,6.917,62.373,58.177,High
167,6.958,4.779,5.995,Low
168,7.000,36.285,38.903,High
169,7.042,4.910,5.755,Low
170,7.083,24.940,28.216,High
171,7.125,4.644,5.181,Low
172,7.167,23.926,26.778,High
173,7.208,4.238,4.609,Low
174,7.250,31.447,32.812,High
175,7.292,4.429,4.492,Low
176,7.333,18.370,20.506,High
177,7.375,3.312,3.149,Low
178,7.417,16.821,18.142,High
179,7.458,3.041,2.402,Low
180,7.500,2.750,1.863,Low
181,7.542,16.049,17.134,High
182,7.583,2.316,1.103,Low
183,7.625,2.053,0.824,Low
184,7.667,9.156,8.638,Medium
185,7.708,1.482,0.343,Low
186,7.750,1.188,0.189,Low
187,7.792,5.248,4.391,Medium
188,7.833,0.668,0.000,Low
189,7.875,0.456,0.000,Low
190,7.917,4.316,3.903,Low
191,7.958,0.241,0.000,Low
192,8.000,0.625,0.000,Low
193,8.042,0.455,0.149,Low
194,8.083,0.189,0.000,Low
195,8.125,0.211,0.000,Low
196,8.167,0.501,0.315,Low
197,8.208,0.305,0.000,Low
198,8.250,0.181,0.000,Low
199,8.292,0.464,0.100,Low
