frame,timestamp_s,motion_score,changed_pct,motion_level
1,0.033,8.468,11.225,Medium
2,0.067,8.658,11.469,Medium
3,0.100,10.727,14.479,Medium
4,0.133,8.415,10.925,Medium
5,0.167,8.138,10.467,Medium
6,0.200,10.356,13.573,Medium
7,0.233,7.899,9.882,Medium
8,0.267,8.081,9.950,Medium
9,0.300,10.143,13.226,Medium
10,0.333,8.134,10.278,Medium
11,0.367,8.221,10.453,Medium
12,0.400,10.363,13.540,Medium
13,0.433,8.432,10.539,Medium
14,0.467,8.479,10.714,Medium
15,0.500,11.033,14.122,Medium
16,0.533,8.606,10.750,Medium
17,0.567,9.084,11.137,Medium
18,0.600,11.539,14.766,Medium
19,0.633,9.266,11.482,Medium
20,0.667,9.367,11.805,Medium
21,0.700,12.162,15.182,Medium
22,0.733,9.846,11.949,Medium
23,0.767,9.245,11.700,Medium
24,0.800,11.600,14.709,Medium
25,0.833,8.722,10.941,Medium
26,0.867,8.949,10.670,Medium
27,0.900,10.695,13.421,Medium
28,0.933,8.482,10.485,Medium
29,0.967,8.477,10.641,Medium
30,1.000,11.086,14.216,Medium
31,1.033,8.760,11.301,Medium
32,1.067,9.064,11.453,Medium
33,1.100,11.293,14.625,Medium
34,1.133,8.971,11.141,Medium
35,1.167,8.742,10.831,Medium
36,1.200,11.401,14.517,Medium
37,1.233,8.643,10.631,Medium
38,1.267,8.732,10.648,Medium
39,1.300,10.670,13.850,Medium
40,1.333,8.648,10.620,Medium
41,1.367,8.454,10.524,Medium
42,1.400,10.769,14.058,Medium
43,1.433,8.235,10.276,Medium
44,1.467,8.203,10.097,Medium
45,1.500,10.224,13.227,Medium
46,1.533,7.837,9.459,Medium
47,1.567,7.991,9.581,Medium
48,1.600,10.203,13.068,Medium
49,1.633,8.079,9.806,Medium
50,1.667,8.241,10.018,Medium
51,1.700,10.995,14.049,Medium
52,1.733,8.591,10.746,Medium
53,1.767,8.556,10.654,Medium
54,1.800,10.846,13.707,Medium
55,1.833,8.354,10.148,Medium
56,1.867,8.647,10.477,Medium
57,1.900,10.799,13.766,Medium
58,1.933,8.327,10.186,Medium
59,1.967,8.216,9.991,Medium
60,2.000,10.354,13.123,Medium
61,2.033,7.965,9.687,Medium
62,2.067,8.271,9.967,Medium
63,2.100,10.609,13.463,Medium
64,2.133,8.457,10.368,Medium
65,2.167,8.680,10.527,Medium
66,2.200,10.663,13.587,Medium
67,2.233,8.672,10.817,Medium
68,2.267,8.551,10.625,Medium
69,2.300,11.179,14.083,Medium
70,2.333,8.810,10.765,Medium
71,2.367,9.112,11.059,Medium
72,2.400,11.558,14.772,Medium
73,2.433,9.087,11.152,Medium
74,2.467,9.347,11.309,Medium
75,2.500,11.224,14.059,Medium
76,2.533,8.800,10.435,Medium
77,2.567,8.744,10.444,Medium
78,2.600,10.919,13.740,Medium
79,2.633,8.730,10.631,Medium
80,2.667,8.826,10.581,Medium
81,2.700,10.719,13.556,Medium
82,2.733,8.609,10.289,Medium
83,2.767,8.410,10.063,Medium
84,2.800,10.690,13.526,Medium
85,2.833,8.230,9.635,Medium
86,2.867,8.228,9.642,Medium
87,2.900,10.395,12.812,Medium
88,2.933,8.068,9.376,Medium
89,2.967,8.190,9.307,Medium
90,3.000,10.126,12.458,Medium
91,3.033,8.139,9.205,Medium
92,3.067,7.888,9.107,Medium
93,3.100,10.105,12.354,Medium
94,3.133,7.913,9.327,Medium
95,3.167,8.045,9.389,Medium
96,3.200,10.032,12.409,Medium
97,3.233,7.709,9.151,Medium
98,3.267,7.625,9.015,Medium
99,3.300,9.386,11.494,Medium
100,3.333,7.255,8.516,Medium
101,3.367,7.410,8.668,Medium
102,3.400,9.031,11.140,Medium
103,3.433,7.375,8.733,Medium
104,3.467,7.178,8.652,Medium
105,3.500,9.096,11.282,Medium
106,3.533,7.101,8.574,Medium
107,3.567,7.234,8.826,Medium
108,3.600,9.001,11.409,Medium
109,3.633,6.926,8.416,Medium
110,3.667,6.854,8.265,Medium
111,3.700,8.315,10.367,Medium
112,3.733,6.443,7.671,Medium
113,3.767,6.439,7.567,Medium
114,3.800,8.392,10.411,Medium
115,3.833,7.037,8.496,Medium
116,3.867,6.929,8.314,Medium
117,3.900,9.188,11.065,Medium
118,3.933,6.983,8.416,Medium
119,3.967,7.300,8.341,Medium
120,4.000,8.676,10.560,Medium
121,4.033,6.765,7.975,Medium
122,4.067,6.881,7.893,Medium
123,4.100,8.587,10.187,Medium
124,4.133,6.602,7.545,Medium
125,4.167,6.460,7.437,Medium
126,4.200,8.173,9.805,Medium
127,4.233,6.191,7.106,Medium
128,4.267,6.323,7.269,Medium
129,4.300,7.879,9.649,Medium
130,4.333,6.551,7.459,Medium
131,4.367,6.430,7.464,Medium
132,4.400,8.481,10.203,Medium
133,4.433,6.876,7.967,Medium
134,4.467,6.607,7.737,Medium
135,4.500,8.497,10.352,Medium
136,4.533,6.558,7.746,Medium
137,4.567,6.799,7.797,Medium
138,4.600,8.318,10.210,Medium
139,4.633,6.792,8.047,Medium
140,4.667,6.810,8.076,Medium
141,4.700,8.759,10.505,Medium
142,4.733,6.787,7.982,Medium
143,4.767,6.809,7.847,Medium
144,4.800,8.659,10.094,Medium
145,4.833,6.620,7.751,Medium
146,4.867,6.859,7.797,Medium
147,4.900,8.770,10.213,Medium
148,4.933,6.935,8.139,Medium
149,4.967,6.917,8.225,Medium
150,5.000,8.723,10.649,Medium
151,5.033,6.658,8.199,Medium
152,5.067,6.855,8.271,Medium
153,5.100,8.545,10.556,Medium
154,5.133,6.898,8.320,Medium
155,5.167,6.761,8.251,Medium
156,5.200,8.534,10.521,Medium
157,5.233,6.650,8.079,Medium
158,5.267,6.799,8.216,Medium
159,5.300,8.531,10.490,Medium
160,5.333,6.586,7.859,Medium
161,5.367,6.699,7.882,Medium
162,5.400,8.204,10.050,Medium
163,5.433,6.589,7.473,Medium
164,5.467,6.364,7.269,Medium
165,5.500,8.111,9.450,Medium
166,5.533,6.282,7.139,Medium
167,5.567,6.337,7.073,Medium
168,5.600,7.719,9.410,Medium
169,5.633,6.050,6.964,Medium
170,5.667,6.028,6.795,Medium
171,5.700,7.348,8.856,Medium
172,5.733,5.870,6.553,Medium
173,5.767,5.927,6.565,Medium
174,5.800,7.183,8.641,Medium
175,5.833,5.735,6.454,Medium
176,5.867,5.783,6.410,Medium
177,5.900,7.238,8.764,Medium
178,5.933,5.864,6.598,Medium
